outcome,method,nsnp,b,se,OR,CI_low,CI_high,p
M13_CERVICALGIA,IVW (fixed effects),40,1.7513473911741906,0.40499774605561906,5.7623616028432885,2.6053103617750075,12.745050159513475,1.52990154647013e-05
M13_CERVICALGIA,IVW (random effects),40,1.7560479375913542,0.4691874265569202,5.78951161097642,2.308136713568138,14.521862806737634,0.00018202239756754822
M13_CERVICALGIA,Weighted median (ratio-scale),40,1.2924788405253806,,3.6418028246167733,,,
M13_CERVICALGIA,MR-Egger slope,40,1.9206601010248676,5.018731449062708,6.825462477353532,0.00036483931319455514,127691.66135590755,0.7019434592243416
M13_CERVICALGIA,MR-Egger intercept,40,-0.003126960724887572,0.003971296750791722,,,,0.4310533960302664
M13_CERVICALGIA,Cochran's Q (IVW),40,83.34292937914236,39,,,,
M13_SHOULDER,IVW (fixed effects),40,0.6342998849313823,0.19207929378220848,1.8857014711872113,1.2941116421289547,2.747730506919649,0.0009590179640266998
M13_SHOULDER,IVW (random effects),40,0.6856738519992095,0.30401673626382786,1.9851090546477976,1.0939566182051752,3.6022067907135136,0.02410936626262042
M13_SHOULDER,Weighted median (ratio-scale),40,1.0887133588540825,,2.970449709980783,,,
M13_SHOULDER,MR-Egger slope,40,0.48793741014877284,2.3791584428478676,1.6289528908627096,0.015371914969194652,172.6191906452498,0.8375031867604533
M13_SHOULDER,MR-Egger intercept,40,0.00018686679511367818,0.002015445568112551,,,,0.9261281040245162
M13_SHOULDER,Cochran's Q (IVW),40,84.42659520475422,39,,,,
